event_id,true_x,true_y,true_z,S1e,S2e,xmax,ymax,xpos,ypos
0,-56.189575,45.298237,699.2662,104,51393,-62.2,46.65,-59.487791132372486,45.34580724900768
1,-204.04059,82.76591,1015.824,109,52672,-202.15,77.75,-202.9111858661358,80.1423076923077
2,-106.80218,361.83713,72.86524,86,53380,-108.85,357.65,-107.73928487207982,359.4902330748428
3,-286.39502,30.258028,601.7929,111,52792,-279.9,31.1,-282.94049934941296,30.07472549270798
4,-211.9095,72.84642,256.7011,94,51836,-202.15,77.75,-205.4511137040634,76.4144171779141
5,-29.89145,484.41528,930.6841,88,53660,-31.1,482.05,-30.31376427425427,476.357584817069
6,-255.40366,76.53596,528.9045,103,53608,-264.35,77.75,-262.6638588043581,76.9725
7,25.472948,-107.15458,623.2665,110,51289,15.55,-108.85,18.754242537527375,-108.00374066618835
8,-185.96783,374.94406,1052.2883,98,57042,-186.6,373.2,-186.30475081431715,374.4523566943687
9,-15.949378,-71.20088,977.5469,80,51028,-15.55,-77.75,-16.256818301956375,-75.9205882352941
10,109.66388,47.344734,191.88005,77,51637,108.85,46.65,108.70260591190574,46.95048379944143
11,-129.25893,-52.83693,370.5456,100,51879,-124.4,-46.65,-127.73214373633975,-49.57018868173231
12,2.1775959,-230.9208,717.616,97,52150,-0.0,-233.25,2.886526946107785,-231.39182389937108
13,216.07074,-90.71099,291.96475,79,51745,217.7,-93.3,217.85867153868384,-91.07857327304043
14,-150.62231,-51.02455,290.96548,91,51162,-155.5,-46.65,-151.86903553299493,-51.22861193339029
15,-169.96631,395.5097,3.3717914,75,57854,-171.05,388.75,-170.6725743710416,392.25043290043294
16,111.46063,-479.10074,130.94675,101,29867,108.85,-466.5,109.02873473770316,-461.1281818181818
17,-159.50397,-178.58109,278.3681,94,51910,-155.5,-171.05,-157.33455056179776,-174.14006584363108
18,233.43594,-391.0834,325.05643,89,61801,233.25,-388.75,233.08457446808512,-390.26057142857144
19,-314.30994,-61.3273,776.0028,101,52384,-311.0,-62.2,-311.5126373626374,-61.6310979331412
20,92.56886,-118.51158,896.15796,101,51854,93.3,-124.4,93.1031661407857,-122.12865255977331
21,84.57057,-1.4490232,605.85394,98,50811,77.75,0.0,80.5434131736527,-1.1485795454545453
22,304.42224,-77.1423,473.058,99,52083,295.45,-77.75,298.2690129151818,-77.57126436781608
23,205.38817,16.345293,482.7295,108,52849,202.15,15.55,202.612794094994,16.9722562057216
24,-223.62605,377.5501,528.29205,109,57331,-233.25,373.2,-231.08242424242422,374.39615979316903
25,-54.592392,401.73175,485.42242,103,55762,-46.65,404.3,-51.00077807174445,401.9013229694773
26,-43.612083,179.62401,631.59045,89,52256,-46.65,186.6,-46.220442823547025,185.06420054494598
27,102.674484,-272.41742,146.96112,90,52615,108.85,-264.35,105.62264067451909,-269.3987045486252
28,-234.54001,240.40997,912.093,117,54337,-233.25,233.25,-235.34326923076924,237.50107913669066
29,350.20477,243.57845,885.4259,109,57278,342.1,233.25,346.331295921689,235.8766891891892
30,-326.29843,272.80096,1194.1953,97,57585,-326.55,279.9,-325.0353823971439,278.1608516893889
31,-409.26108,-109.76833,284.14734,95,56868,-404.3,-124.4,-406.68357067247376,-119.48419438515941
32,78.78692,35.29352,643.5083,104,50479,77.75,31.1,77.02913907284768,31.948182037815908
33,209.2297,121.9878,998.71234,103,52737,217.7,124.4,216.37006388212504,122.88539057149518
34,254.00705,113.61666,845.9739,112,51425,248.8,108.85,248.0112337195355,111.02242556179272
35,-211.50299,-58.462944,1065.9183,110,52450,-217.7,-46.65,-215.37278741330516,-50.881293368177346
36,-120.874245,136.96059,578.19354,95,51757,-124.4,155.5,-125.330342571552,150.39580152671755
37,-410.7288,-65.619545,464.89728,111,56304,-419.85,-62.2,-415.83434411352806,-64.66970629074996
38,259.72736,195.75761,361.65604,104,53790,264.35,202.15,263.5094631545608,198.91041321527393
39,92.544754,-351.90738,790.9803,94,54765,93.3,-342.1,93.49316948363499,-344.0962871242214
40,-178.59523,-33.876102,286.97336,96,51803,-186.6,-31.1,-183.21559164608226,-33.23598923525967
41,-58.562916,308.90866,792.321,96,54145,-46.65,311.0,-49.87378128796088,309.1550847457627
42,-166.10895,54.210957,757.6508,103,51641,-171.05,46.65,-170.61320397880638,50.14251426655977
43,-175.33675,-367.44858,435.97217,111,56012,-171.05,-373.2,-172.76773442113125,-371.7961870829264
44,41.03089,-83.896866,739.493,104,51311,46.65,-77.75,44.49548270903438,-81.74608938547486
45,299.47543,-175.62679,665.07056,109,53271,295.45,-171.05,298.3365337440354,-172.44670828630828
46,-353.0722,-194.25745,224.462,107,55477,-342.1,-202.15,-345.68846490322017,-198.92263809300073
47,133.56299,96.0915,796.2738,115,51601,124.4,93.3,127.21024180952327,92.81708239442814
48,125.47136,256.90512,558.6461,99,52482,124.4,264.35,125.1873425254339,261.126222638386
49,-164.75354,-410.5809,942.5049,94,59487,-171.05,-419.85,-169.0069359995153,-417.3256530365387
50,160.98813,126.02003,60.303276,88,52123,155.5,124.4,157.22777777777776,124.75340995788574
51,289.90253,368.3675,211.6182,89,63988,295.45,373.2,293.4385643802472,365.92340314816204
52,265.307,302.07748,1202.0302,116,55684,264.35,295.45,265.0789098739624,296.8021815203238
53,-55.62874,-238.15875,690.8261,99,52582,-62.2,-233.25,-58.86040311467728,-235.6796875
54,-6.0714602,147.4566,728.88513,83,52111,0.0,139.95,-1.5976027397260273,142.68836309085103
55,-129.8283,-71.731346,518.0464,81,50306,-139.95,-77.75,-139.01886037495322,-74.70760869565218
56,-136.15388,-460.5576,599.0622,98,64521,-139.95,-466.5,-133.76863232725157,-460.49651898734174
57,157.16837,-159.63933,29.96544,77,52282,155.5,-155.5,155.7814479638009,-158.19817351598175
58,13.705874,-132.36252,271.85144,98,51328,15.55,-124.4,15.284943280436776,-127.84573942531239
59,-355.77368,-26.567316,288.38318,98,52504,-357.65,-31.1,-356.93092111576493,-29.730817830787515
60,-199.05801,-327.75098,1164.3196,108,54866,-202.15,-326.55,-201.85843357086185,-326.9619129307223
61,136.91444,165.88039,670.90515,120,51688,139.95,171.05,140.76306994070416,170.10439380955054
62,225.47601,33.880474,590.70435,103,52599,217.7,31.1,220.18799825032553,33.32142876933391
63,221.36827,33.054466,730.17474,101,51975,217.7,31.1,219.21925117229588,30.713664795300982
64,223.25278,238.48549,635.0842,115,52676,233.25,233.25,231.07300000000004,236.20109489051097
65,-270.62708,141.00447,397.01367,91,52416,-264.35,139.95,-266.7555283014287,139.37100886892765
66,66.3427,-174.72627,854.52106,126,51422,62.2,-171.05,62.10744090761458,-172.0929894982315
67,-201.45331,-236.20518,200.13376,126,54046,-202.15,-233.25,-200.84052291067027,-234.484126984127
68,148.23456,-452.7355,596.0447,93,66094,139.95,-450.95,143.4904001917158,-451.86024973799545
69,88.74774,-205.5576,992.9861,118,52161,93.3,-202.15,91.88636545034555,-203.23948659714625
70,-216.86589,136.97609,214.86847,94,52725,-217.7,139.95,-217.0810929483442,139.15810017055935
71,-333.88763,36.55362,296.14413,110,53767,-326.55,31.1,-330.10153695565685,35.10674866284329
